layout,sanitary,balcony,temperature,top_p,num_samples,valid_rate,connectivity_rate,nldk_compliance_rate,diversity_unique_count,diversity_unique_rate,diversity_entropy,jsonl_path
1DK,Separated,Has_Balcony,0.4,0.95,100,0.94,0.94,0.88,14,0.14,2.9474435408556396,generations/1dk__separated__has_balcony.jsonl
1DK,Separated,No_Balcony,0.4,0.95,100,0.89,0.89,0.88,13,0.13,3.1791806653013412,generations/1dk__separated__no_balcony.jsonl
1DK,Unit,Has_Balcony,0.4,0.95,100,1.0,1.0,1.0,5,0.05,1.0772959042763488,generations/1dk__unit__has_balcony.jsonl
1DK,Unit,No_Balcony,0.4,0.95,100,1.0,1.0,1.0,4,0.04,1.2106209629481426,generations/1dk__unit__no_balcony.jsonl
1K,Separated,Has_Balcony,0.4,0.95,100,0.97,0.97,0.87,15,0.15,3.205246126544721,generations/1k__separated__has_balcony.jsonl
1K,Separated,No_Balcony,0.4,0.95,100,0.89,0.89,0.87,12,0.12,2.8980719947228697,generations/1k__separated__no_balcony.jsonl
1K,Unit,Has_Balcony,0.4,0.95,100,1.0,1.0,1.0,4,0.04,1.2158685352591778,generations/1k__unit__has_balcony.jsonl
1K,Unit,No_Balcony,0.4,0.95,100,1.0,1.0,1.0,4,0.04,1.3799735329476956,generations/1k__unit__no_balcony.jsonl
1LDK,Separated,Has_Balcony,0.4,0.95,100,0.97,0.97,0.71,19,0.19,3.4323148530373957,generations/1ldk__separated__has_balcony.jsonl
1LDK,Separated,No_Balcony,0.4,0.95,100,0.86,0.86,0.7,20,0.2,3.631176017890801,generations/1ldk__separated__no_balcony.jsonl
1LDK,Unit,Has_Balcony,0.4,0.95,100,1.0,1.0,1.0,5,0.05,0.9020575076079194,generations/1ldk__unit__has_balcony.jsonl
1LDK,Unit,No_Balcony,0.4,0.95,100,1.0,1.0,1.0,4,0.04,1.3770003859068702,generations/1ldk__unit__no_balcony.jsonl
1R,Separated,Has_Balcony,0.4,0.95,100,0.98,0.98,0.0,15,0.15,3.123321286098848,generations/1r__separated__has_balcony.jsonl
1R,Separated,No_Balcony,0.4,0.95,100,0.96,0.96,0.0,8,0.08,2.7148195205641334,generations/1r__separated__no_balcony.jsonl
1R,Unit,Has_Balcony,0.4,0.95,100,1.0,1.0,1.0,2,0.02,0.499915958164528,generations/1r__unit__has_balcony.jsonl
1R,Unit,No_Balcony,0.4,0.95,100,1.0,1.0,1.0,1,0.01,0.0,generations/1r__unit__no_balcony.jsonl
2DK,Separated,Has_Balcony,0.4,0.95,100,0.79,0.79,0.79,9,0.09,2.356686422164434,generations/2dk__separated__has_balcony.jsonl
2DK,Separated,No_Balcony,0.4,0.95,100,0.95,0.95,0.94,10,0.1,2.689612547696045,generations/2dk__separated__no_balcony.jsonl
2DK,Unit,Has_Balcony,0.4,0.95,100,1.0,1.0,1.0,2,0.02,0.36592365090022316,generations/2dk__unit__has_balcony.jsonl
2DK,Unit,No_Balcony,0.4,0.95,100,1.0,1.0,1.0,5,0.05,1.5196761013900963,generations/2dk__unit__no_balcony.jsonl
